SKU,Barcode,Slug,Title,Status,Product Description,Stock Status,Quantity,Collections,Category,Sub Category,Settings/Size,Featured,Backorders allowed,Sold Individually,HUID,Min shipping days,Max shipping days,Metal Type,Metal Color,Gold Purity,Gold Gross,Gold Net,Silver Purity,Silver Gross,Silver Net,Platinum Purity,Platinum Gross,Platinum Net,Diamond From,Diamond Weight,Diamond Pieces,Diamond Type,Diamond Quality,Diamond Shapes,Diamond Cut,Custom Diamond Rate,Diamond Certified,Diamond Lab,Diamond Certificate ID,Gemstone From,Gemstone Quality,Gemstone Shape,Gemstone Type,Gemstone Size,Gemstone Pieces,Gemstone Weight,Custom Gemstone Rate,Gemstone Color,No. of Lines,Length,Closure Type,Pearl Type,Pearl Setting Type,Pearl Size,Pearl Pieces,Pearl Weight,Labour Type,Labour From,Per Gram,Wastage From,Wastage in (%),Minimum Making,Extra Charge Type,Extra Charge Value,SEO Title,SEO Description,SEO Keywords,Width (in mm),Height (in mm),Thickness (in mm),Tags,Gender,Ocassions,Manual Product Price (MRP),Sale Price,Automatic Price,Disable Customization,Upsell,Cross Sell,Images,Images Links,Video URL,Product Link,Rings Size,Bangles and Bracelet Size,Product Length
ERG-1740,,erg-1740,ERG-1740,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,3.34,3.254,,,,,,,customize,0.430,38,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63023,,,,"ERG-1740,ERG-1740","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1740.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1740.jpg",,,,,
ERG-1615,,erg-1615,ERG-1615,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,2.4,2.3,,,,,,,customize,0.500,41,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60809,,,,"ERG-1615,ERG-1615","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1615.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1615.jpg",,,,,
EER-1648,,eer-1648,EER-1648,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,2.019,2,,,,,,,customize,0.096,12,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24774,,,,"EER-1648,EER-1648","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/EER-1648.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/EER-1648.jpg",,,,,
DVLR-7510,,dvlr-7510,DVLR-7510,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,3.52,3.4,,,,,,,customize,0.599,65,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78271,,,,"DVLR-7510,DVLR-7510","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/DVLR-7510.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/DVLR-7510.jpg",,,,,
DVLR-7353,,dvlr-7353,DVLR-7353,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,3.562,3.5,,,,,,,customize,0.311,51,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55218,,,,"DVLR-7353,DVLR-7353","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/DVLR-7353.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/DVLR-7353.jpg",,,,,
AITN-120,,aitn-120,AITN-120,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,1.749,1.7,,,,,,,customize,0.246,24,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34695,,,,"AITN-120,AITN-120","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AITN-120.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AITN-120.jpg",,,,,
AITN-124,,aitn-124,AITN-124,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,1.663,1.6,,,,,,,customize,0.314,40,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39498,,,,"AITN-124,AITN-124","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AITN-124.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AITN-124.jpg",,,,,
DVLR-3904,,dvlr-3904,DVLR-3904,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,1.74,1.664,,,,,,,customize,0.380,46,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45508,,,,"DVLR-3904,DVLR-3904","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/DVLR-3904.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/DVLR-3904.jpg",,,,,
DVLR-7347,,dvlr-7347,DVLR-7347,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,4.104,4,,,,,,,customize,0.520,83,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76760,,,,"DVLR-7347,DVLR-7347","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/DVLR-7347.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/DVLR-7347.jpg",,,,,
AITN-110,,aitn-110,AITN-110,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,2.119,2,,,,,,,customize,0.593,68,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66005,,,,"AITN-110,AITN-110","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AITN-110.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AITN-110.jpg",,,,,
